,Position,link,Company,Department,Location,desc
50,CDI CHEF DE PROJET NOUVEAUTES (H/F) - PARIS,/Cartier/job/PARIS-75/629229201/,Cartier,Manufacturing,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégré(e) au sein du département développement du Pôle Joaillerie France et sous la responsabilité du Directeur Développement, vous serez amené à piloter un portefeuille de projets Nouveautés Joaillerie. Vous aurez à animer et coordonner les équipes de développement pour atteindre les objectifs Qualité, Coût, Délai, Performance.
 
 

Concevoir et Piloter le projet 

Définir les périmètres du projet et les objectifs à atteindre  
Définir les ressources / compétences nécessaires dans chaque métier et s’assurer de leurs disponibilités
Réaliser l’analyse de risque projet
Piloter et orienter le projet, faire travailler en synergie les différents métiers, avec la vision d'ensemble
Assurer le passage des différentes étapes du projet (cadrage, convergence, industrialisation, production)
Valider ou faire valider les évolutions éventuelles de la stratégie projet
Garantir la sortie des livrables au bon niveau de qualité
Suivre les indicateurs de pilotage et réaliser le reporting d’avancement du projet
Réaliser le bilan du projet par rapport aux objectifs initiaux



 

Coordonner un portefeuille de projets 

Arbitrer ou faire arbitrer les priorités par rapport aux enjeux des projets avec les différents métiers contributeurs
Réaliser le reporting d’avancement de son portefeuille



 

Amélioration continue


Identifier les points d’améliorations 
Piloter certains projets d’amélioration dans une vision globale pour l’équipe 

 
Profil recherché : 
Issu(e) d’une formation supérieure (Ingénieur, ESC), vous justifiez d’une expérience de 5 ans mini dans la gestion de projet, idéalement dans l’univers Joaillerie.
Doté(e) d’un leadership, vous appréciez le travail en équipe et faites preuve d’une rigueur et d’une organisation certaine. Vous êtes reconnu(e) pour votre flexibilité, votre adaptabilité, votre sens de l’écoute et votre diplomatie.
 
    Lieu de travail : Paris 9ème 
    Début : Dès que possible
"
51,CDI CHEF DE PROJET NOUVEAUTES (H/F) - REIMS,/Cartier/job/REIMS-51/629273301/,Cartier,Manufacturing,"REIMS, 51, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégré(e) au sein du département développement du Pôle Joaillerie France et sous la responsabilité du Directeur Développement, vous serez amené à piloter un portefeuille de projets Nouveautés Joaillerie. Vous aurez à animer et coordonner les équipes de développement pour atteindre les objectifs Qualité, Coût, Délai, Performance.
 
 

Concevoir et Piloter le projet 

Définir les périmètres du projet et les objectifs à atteindre  
Définir les ressources / compétences nécessaires dans chaque métier et s’assurer de leurs disponibilités
Réaliser l’analyse de risque projet
Piloter et orienter le projet, faire travailler en synergie les différents métiers, avec la vision d'ensemble
Assurer le passage des différentes étapes du projet (cadrage, convergence, industrialisation, production)
Valider ou faire valider les évolutions éventuelles de la stratégie projet
Garantir la sortie des livrables au bon niveau de qualité
Suivre les indicateurs de pilotage et réaliser le reporting d’avancement du projet
Réaliser le bilan du projet par rapport aux objectifs initiaux



 

Coordonner un portefeuille de projets 

Arbitrer ou faire arbitrer les priorités par rapport aux enjeux des projets avec les différents métiers contributeurs
Réaliser le reporting d’avancement de son portefeuille



 

Amélioration continue


Identifier les points d’améliorations 
Piloter certains projets d’amélioration dans une vision globale pour l’équipe 

 
Profil recherché : 
Issu(e) d’une formation supérieure (Ingénieur, ESC), vous justifiez d’une expérience de 5 ans mini dans la gestion de projet, idéalement dans l’univers Joaillerie.
Doté(e) d’un leadership, vous appréciez le travail en équipe et faites preuve d’une rigueur et d’une organisation certaine. Vous êtes reconnu(e) pour votre flexibilité, votre adaptabilité, votre sens de l’écoute et votre diplomatie.
 
    Lieu de travail : Reims
    Début : Dès que possible
"
52,CDI CHARGE DE METHODES ET INDUSTRIALISATION (H/F) - PARIS,/Cartier/job/PARIS-CDI-CHARGE-DE-DEVELOPPEMENT-TECHNIQUE-%28HF%29-PARIS-75/628820001/,Cartier,Manufacturing,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégré(e) au sein du département développement du Pôle Joaillerie France et sous la responsabilité du Responsable industrialisation Produits Finis, vous serez amené à réaliser et piloter l’industrialisation des produits finis du pôle sur toute la durée de vie : Innovation, Nouveautés, Vie Série et si besoin sur les commandes spéciales.
 
Missions : 
 
 

Réaliser l’industrialisation des produits du pôle 

Être garant de la faisabilité en production des pièces industrialisées en respectant les codes esthétiques, les attendus qualité, les enjeux de coût et de planning
Définir la faisabilité technique des esthétiques
Définir les découpages techniques, chemin d’obtention des composants et assemblages 
Traiter l’analyse de risque process de son périmètre et contribuer à l’analyse de risque produit et projet
Piloter la réalisation des prototypes en conditions industrielles 
Reporter l’avancement du plan de levé de risque et des préséries process au Chef de Projet Nouveautés
Intégrer dans son industrialisation les retours de production 
Définir, valider et mettre à disposition de la production les outillages de contrôle, d'aide à la fabrication et de qualité
Définir, formaliser et suivre les gammes de fabrication, les nomenclatures, les temps gamme 
Être garant de la maitrise des temps de fabrication en ateliers internes et externes
Organiser les accompagnements des ateliers (internes & externes), 
Être garant de la création et l'archivage de données techniques 



 
 

Être référent dans un (ou plusieurs) domaine de compétence

Définir et rédiger des standards
Intervenir dans son domaine en support sur les projets le nécessitant
Faire évoluer les pratiques en fonction des situations vécues par l’équipe et des évolutions du domaine et en s’appuyant sur les référents et experts métier 
Réaliser / Participer aux projets d’amélioration du domaine



 
Profil recherché : 
 
 
Issu(e) d’une formation bac+2/+ 3 à Bac+5 (BTS Génie mécanique, production), vous justifiez d’une expérience de 5 à 10 ans minimum en industrialisation dans le domaine de l’automobile, aéronautique ou nucléaire. Une expérience en Joaillerie serait appréciée.
Doté(e) d’un esprit d’analyse, vous appréciez le travail en équipe et faites preuve d’une rigueur et d’une capacité de synthèse. Vous êtes reconnu(e) pour votre capacité d’écoute et votre pédagogie.
 
    Lieu de travail : Paris 9ème 
    Début : Dès que possible
"
53,CDI CHARGE DE METHODES ET INDUSTRIALISATION (H/F) - REIMS,/Cartier/job/PARIS-CDI-CHARGE-DE-DEVELOPPEMENT-TECHNIQUE-%28HF%29-REIMS-75/628821901/,Cartier,Manufacturing,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégré(e) au sein du département développement du Pôle Joaillerie France et sous la responsabilité du Responsable industrialisation Produits Finis, vous serez amené à réaliser et piloter l’industrialisation des produits finis du pôle sur toute la durée de vie : Innovation, Nouveautés, Vie Série et si besoin sur les commandes spéciales.
 
Missions : 
 
 

Réaliser l’industrialisation des produits du pôle 

Être garant de la faisabilité en production des pièces industrialisées en respectant les codes esthétiques, les attendus qualité, les enjeux de coût et de planning
Définir la faisabilité technique des esthétiques
Définir les découpages techniques, chemin d’obtention des composants et assemblages 
Traiter l’analyse de risque process de son périmètre et contribuer à l’analyse de risque produit et projet
Piloter la réalisation des prototypes en conditions industrielles 
Reporter l’avancement du plan de levé de risque et des préséries process au Chef de Projet Nouveautés
Intégrer dans son industrialisation les retours de production 
Définir, valider et mettre à disposition de la production les outillages de contrôle, d'aide à la fabrication et de qualité
Définir, formaliser et suivre les gammes de fabrication, les nomenclatures, les temps gamme 
Être garant de la maitrise des temps de fabrication en ateliers internes et externes
Organiser les accompagnements des ateliers (internes & externes), 
Être garant de la création et l'archivage de données techniques 



 
 

Être référent dans un (ou plusieurs) domaine de compétence

Définir et rédiger des standards
Intervenir dans son domaine en support sur les projets le nécessitant
Faire évoluer les pratiques en fonction des situations vécues par l’équipe et des évolutions du domaine et en s’appuyant sur les référents et experts métier 
Réaliser / Participer aux projets d’amélioration du domaine



 
Profil recherché : 
 
 
Issu(e) d’une formation bac+2/+ 3 à Bac+5 (BTS Génie mécanique, production), vous justifiez d’une expérience de 5 à 10 ans minimum en industrialisation dans le domaine de l’automobile, aéronautique ou nucléaire. Une expérience en Joaillerie serait appréciée.
Doté(e) d’un esprit d’analyse, vous appréciez le travail en équipe et faites preuve d’une rigueur et d’une capacité de synthèse. Vous êtes reconnu(e) pour votre capacité d’écoute et votre pédagogie.
 
    Lieu de travail : Reims
    Début : Dès que possible
"
54,CDD Gestionnaire Logistique et Administratif H/F,/Cartier/job/Paris-CDD-Gestionnaire-Logistique-et-Administratif-HF-75/578253701/,Cartier,Supply Chain & Logistics,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
 
Rattaché à la Direction Nouveautés, vous assurez les flux logistiques de notre atelier en charge du développement des prototypages dans le cadre de nouveaux produits.
 
 
Missions principales
 
Gestion administrative et physique du flux Prototypage 

Créér et lancer les ordres de fabrication internes et externes des activités prototypage et essais.
Commander et  réceptionner les approvisionnements pour les fabrications en cours internes ou externes : Fontes, Pierres, composants et métal auprès des pôles ou auprès de l’externe
Passer les commandes de sous-traitance complète ou de substitution, prépare les envois et enregistre les retours et gère la facturation auprès des fournisseurs.

 
Pilotage logistique de l’activité

Mèner un suivi régulier de l’encours, de l’ancienneté et des statuts d’avancement des essais et prototypes de son périmètre. Passe les actions correctrices.

 
Gestion de stock 
 
Profil recherché
 
De niveau Bac+2, vous justifiez d’une expérience confirmée en tant que gestionnaire logistique et avez l’habitude d’interagir avec des unités de production. Vous êtes reconnu(e) pour votre bon relationnel, votre capacité à travailler en équipe et à prendre du recul. Vous être rigoureux et réactif. Vous maîtrisez le Pack office et avez des notions sur SAP.
 
 
Poste à pourvoir à PARIS en CDD dans le cadre d'un remplacement de congé maternité à compter du mois d'avril 2020 pour une durée de 3-5 mois.
"
55,CDI - Responsable Conception Produits / Process H/F,/Cartier/job/Paris-75/607320601/,Cartier,Creation & Design,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et numéro 2 de l’Horlogerie, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu’une simple entreprise, la Maison a su faire de ses créations de véritables mythes ancrés dans notre patrimoine national, et ce, grâce à des femmes et hommes qui font de leur passion un métier.
 
Nous recherchons en CDI le (la) Responsable Conception Produit / Process du Pôle Joaillerie France qui :

est responsable de la définition et de la conception des produits finis, des composants semi finis, des outillages de fabrication et de contrôle des composants et des produits finis, dans le respect du référentiel, en prenant en compte les contraintes techniques, esthétiques, économiques, qualité et délai.
assure le développement et l’industrialisation des nouvelles références allouées à des partenaires externes, il est dans ce cadre le représentant technique du pole dans l’interface avec le Responsable développement Produits et au sein de l’instance EPM.
manage une équipe de concepteurs numériques
contribue à l'élaboration et à l'enrichissement du référentiel.
 
 
Missions : 
 


Etude / Conception des produits finis, composants, gabarits de montage et de contrôle
 


S'assure, dans le développement produit et process, de la prise en compte et de l'intégration de l'ensemble des règles métiers (QPI/QPC/SAV/responsable technique/expert/Ateliers) et remonte au besoin les points durs ou proposition d'arbitrage 
 


Développement et industrialisation avec les partenaires externes
 


Construit la vision long terme de son équipe 
Valide la stratégie d’industrialisation
Garantit sa bonne mise en œuvre, dans les objectifs coût, qualité, délai fixés
 


Interlocuteur de l’équipe projet dans les développements externes
 


Participe aux réunions alpha et contribue à l'analyse de risque économique 
Pilote les réunions techniques / analyse de risques techniques 
Etablit le planning de développement et la stratégie associée
Signe les jalons projets TX
Assure le suivi d’activités avec les partenaires afin d’atteindre les objectifs du projet coût, qualité, délai
 


Contribution au référentiel
 


Contribue à l'enrichissement du référentiel produit/procédure (identification des manques / participation à la rédaction / bonnes pratiques / retour d’expériences)
S'assure de l'application du référentiel dans les développements produits
 
Profil :


Expérience en Management d’au moins 5 ans
Maîtrise des outils et techniques de conception

"
56,CDI - RESPONSABLE FONTE  H/F,/Cartier/job/PARIS-CDI-RESPONSABLE-FONTE-HF-75/578908301/,Cartier,Manufacturing,"PARIS, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier l’une des 16 Maisons du Groupe Richemont, fait rimer savoir-faire et excellence depuis 1847. 
Avec plus de 7500 collaborateurs, de 90 nationalités différentes, Cartier offre des opportunités dans une très grande diversité de métiers et évolue autour de valeurs fortes. Au fil des années, plusieurs engagements ont été pris par la Maison, afin de permettre d’avoir un impact positif via des initiatives culturelles, éthiques, sociales et environnementales.  La Maison a su imposer un style et un univers unique et faire de ses créations de véritables mythes, et ce grâce à des femmes et des hommes qui font de leur passion leur métier.
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation.
 
 
Intégré(e) au sein du département des ateliers transverses de haute joaillerie, vos principales missions seront les suivantes :
 

Conception et garant des faisabilités techniques.

Définir la stratégie de conception de moule caoutchouc en fonction de la nature des maquettes, en lien permanent avec la vision globale du processus et des métiers en amont & aval (Joailliers, poli, serti).
Réalisation des différentes techniques de prise de moule – caoutchouc, silicone, etc…
Réalisation des cires d'injections et leurs montages.
Conception et suivi de réalisation des outillages nécessaires à la production de moule, cire & fonte.



 

Assurer la production et livraison des pièces selon le triptyque qualité, coût, délais. 

Assurer le respect du Plan de Production des composants fonte.
Réaliser (moule, cire, etc...) et en contrôler les composants.
Assurer la bonne livraison des composants.



 

Entretien et maintenance des moyens de production.

Réaliser la maintenance préventive de 1er niveau.
Gérer les approvisionnements des composants nécessaires à la réalisation des moules, cires, découpe, etc...



 

Participation à l’organisation physique du pilotage de l’atelier.

Assurer l'utilisation optimale des moyens de production disponibles dans l'atelier.
Participer à la consolidation de l'équation charge / capacité de l’atelier. 
Participer au reporting de la performance hebdo. Proposer et mettre en œuvre les actions correctives si nécessaire,
Approvisionner, contrôler et réceptionner les consommables (caoutchouc, lame, cire, etc..)



 

Management d’une équipe de deux fondeurs

Assure la montée en compétence technique de ses équipes
Assure le respect des règles de l’atelier (port de la blouse, pauses, respect des autres, ponctualité, utilisation téléphones portables, badgeage, etc)
Assure le respect des temps de travail 
Assure les entretiens individuels de la performance et les entretiens individuels de développement



 
 
Profil recherché : 
 
 
Vous êtes doté(e) d’une première expérience similaire d’au moins 5 ans au sein d’un milieu industriel. Vous avez des connaissances solides en mécanique et/ou bijouterie.
Connaissance des outils Microsoft Office.
 
Qualités requises : sens du service, excellent relationnel, organisation, autonomie, réactivité, minutie et précision. Notions de vision dans l’espace.
 
Lieu de travail : Paris 
CDI à pourvoir dès Avril 2020. 
 
"
57,CDI - Concepteur Numérique RHINO (H/F),/Cartier/job/Paris-75/621659901/,Cartier,Manufacturing,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Intégrés à notre Bureau d’Etudes, vous serez responsable de l’étude et de la conception des pièces joaillerie qui vous sont confiées sur une diversité importante de produits. Vous participerez également activement à l’application ainsi qu’à l’enrichissement de notre référentiel.
 
Missions
 
Dans ce contexte, vos missions sont les suivantes :
 
1. Définir et concevoir les produits :

Réalise la conception 3D
S’approprie l’intention esthétique du créateur, issue de divers supports (gouache / 3D / physique)
Intègre les critères d’ergonomie, d’intégrité et de réparabilité
Garantie la faisabilité du produit en collaboration avec les services techniques
Gère son planning et alerte en cas de dérive (évolution de la nomenclature initiale, respect des délais des livrables...)
Réalise le dossier de prototype et de définition
Contrôle les écarts entre le prototype et la définition numérique, les analyse et réalise la rétroconception au besoin

 
2. Participer aux démarches d'amélioration continue de l'équipe
 
Profil recherché :
 
Vous maîtrisez Rhino&RhinoGold et Grasshopper et avez déjà travaillé dans la joaillerie (à la cheville ou en conception numérique). 
Par ailleurs, vous disposez de bonnes connaissances en métallurgie, résistance des matériaux, usinage, process de fonte ainsi qu’en technique joaillière pour adapter vos conceptions.
La connaissance de PLM est un plus.
En complément de votre expertise technique, votre excellent relationnel, votre esprit d’équipe, votre réactivité et votre curiosité vous permettront de mener à bien vos missions.
"
58,Apprentisage - Assistant Trade Marketing,/Piaget/job/Paris-Apprentisage-Assistant-Trade-Marketing-75/628150101/,Piaget,Marketing,"Paris, 75, FR","Assistant(e) Trade Marketing Maison Piaget // Alternance
 
CE POSTE EST-IL POUR VOUS ?

De formation école de commerce ou équivalent
Vous possédez une première expérience en Visual Merchandising
Vous êtes doté(e) d’un excellent relationnel et de bonnes facultés de communication
Vous maîtrisez idéalement un ou deux logiciel(s) de PAO (type Photoshop, Indesign)
Créatif et force de proposition, vous êtes reconnu(e) pour votre implication et votre autonomie

QUEL SERA VOTRE ROLE ?
Au sein du Département Marketing et Communication de la filiale France et rattaché(e) à la Responsable Marketing, vous serez en charge des missions suivantes :
ANIMATIONS EVENEMENTIELLES – POP UP/JOURNEES PRESSE/EVENEMENTS CLIENTS
Soutien à la coordination des projets d’animations éphémères des réseaux Wholesale et Retail : brief fournisseurs, validation devis, suivi d’avancement, réalisation de présentations projets pour le Siège et équipes locales, définition des zoning et assortiments produits, bilan des activations, suivi des budgets
 
ANIMATIONS INSTITUTIONNELLES VISUAL MERCHANDISISNG
Soutien dans la mise en place d’animations VM sur les deux réseaux selon le calendrier préconisé par le Siège : définitions des besoins PLV, passage commandes, réalisation des guidelines de mise en place pour les vendeurs, soutien à la mise en place en boutiques, reporting pour le Siège
 
OUVERTURES DE BOUTIQUES/POINTS DE VENTES
Aide aux projets d’ouvertures de nouveaux points de ventes en coordination avec les équipes commerciales : cadrage des besoins PLV, sélection iconographies, définition du zoning, soutien à la mise en place au moment de l’ouverture, suivi des budgets, reporting au Siège
 
PLV / ZONING
Pilotage du stock PLV : suivi du niveau de stock PLV en stock central, identifications des besoins sur le réseau, soutien aux campagnes de renouvellement de PLV, pilotage du budget
Soutien à la mise en place des nouveaux zoning en boutiques, préconisations évolutions
 
ICONOGRAPHIES
Coordination de tout changement d’iconographie pour les réseaux Retail et Wholesale : identifications des besoins, sélection des visuels, brief fournisseurs et suivi des mises en place
VEILLE CONCURRENTIELLE / ETUDES DE MARCHE
Vous développerez grâce à ce stage des connaissances approfondies en Trade Marketing sur le marché de la Joaillerie et de l’Horlogerie. Vous apprendrez à piloter un budget et coordonner des projets à forte visibilité pour la Maison. La taille de la structure (environs 50 personnes au total en France) vous donnera l’opportunité de participer à des missions très diversifiées et complémentaires, et vous apportera une vision 360° de l’activité d’une Maison de Luxe en filiale.
Poste basé sur Paris
Contrat d’Alternance d’une durée de 12 mois
"
59,STAGE/ALTERNANCE - ASSISTANT MERCHANDISING MONDE (H/F),/Chloe/job/Paris-ALTERNANCE-ASSISTANT-MERCHANDISING-MONDE-%28HF%29-J/628181501/,Chloé,Sales,"Paris, J, FR","Sur cette offre, nous recherchons un stagiaire de 6 mois ou un alternant au rythme de 4 jours (entreprise) / 1 jour (école) ou 3 jours (entreprise) / 2 jours (école)
Si votre candidature est retenue, vous serez par la suite convié(e) à un entretien de pré-qualification par vidéo différée.
 
Entreprise : CHLOE
 
Résumé de la mission 
Vous participerez à l'élaboration des outils d’analyse de ventes et d’achats prêt-à-porter pour le département Merchandising Monde.
 
Principales responsabilités
•    Aide à la définition  & à la mise en place des stratégies achats, 
•    Participation aux pré-achats avec l’équipe merchandising, 
•    Aide à l’élaboration de la core offer en vue des sessions de vente, 
•    Création des modelarios et buying charts,
•    Suivi des achats avec les zones pendant les sessions de vente,
•    Suivi des shootings produit,
•    Aide à l’élaboration des Windows Plans avec le Visuel Merchandising,
•    Analyses chiffrées des performances retail hebdomadaires et mensuelles,
•    Suivi de la performance des collections saisonnières,
•    Elaboration des training books,
•    Soutien et suivi quotidien avec le zones,
•    Diverses missions administratives.

Profil requis
•    Formation : de formation supérieure de type école de commerce ou université (niveau  bac+4/5)
•    Compétences techniques : vous avez un goût prononcé et une aisance pour les analyses chiffrées. Vous maitrisez parfaitement excel et powerpoint.
•    Compétences personnelles : vous êtes curieux, force de proposition et réactif. Vous êtes reconnu pour votre implication, votre sens du relationnel et votre motivation.
•    Vous maîtrisez couramment l’anglais.
 
"
60,SERTISSEUR HAUTE JOAILLERIE OJ3/OJ4 (H/F),/Cartier/job/Paris-SERTISSEUR-HAUTE-JOAILLERIE-OJ3OJ4-%28HF%29-75/542043501/,Cartier,Manufacturing,"Paris, 75, FR","Numéro 1 mondial de la Joaillerie et n°2 de l'horlogerie de prestige, Cartier fait rimer savoir-faire et excellence depuis 1847. Bien plus qu'une simple entreprise, la Maison a su faire de ses créations de véritables mythes, et ce, grâce à des hommes et des femmes qui font de leur passion leur métier.
 
Lieu de rencontre entre modernité et tradition, le Manufacturing Cartier Joaillerie développe et assure la production de pièces joaillières d’exception en alliant performance logistique, savoir-faire techniques et innovation.
Hautement qualifié, le sertisseur OJ3/ OJ4 fixe tout type de pierres dans le respect d'un cahier des charges (esthétique, technique, qualité, temps) et sous les directives de son responsable hiérarchique.
 
Dans ce cadre, vos principales missions seront les suivantes : 
 

Réaliser les opérations de sertissage les plus complexes


Développer une véritable expertise de l'ensemble des techniques de sertissage sur tout type de pierres       
Maîtriser la préparation de serti sur tout type de pièces   
Effectuer des vérifications de conformité sur son travail 
Choisir les meilleures solutions techniques pour atteindre le résultat attendu      
Apporter, dans le cadre des objectifs fixés, des solutions innovantes et appropriées     
 


Assurer la gestion de ses temps (Renseigner ses heures productives et improductives selon le système en vigueur)

 

Respecter et entretenir le matériel et outillages mis à disposition 


Participer au rangement des outillages et équipements communs   
Assurer le rangement et l'entretien de son établi

 

Démarches de progrès de l'entreprise (Participer aux projets type 5S, Made in Cartier…)

 
Profil:
 
Diplômé(e) d’un CAP (ou équivalent), avec une expérience de 10 ans minimum, vous êtes à la recherche d’un poste de sertisseur. Vous avez une première expérience professionnelle significative en haute joaillerie.
 
Qualités requises :
Rigueur, organisation, bon relationnel et esprit d’équipe.
"
61,Communication senior project manager (H/F) - CDI,/Cartier/job/PARIS-75/621490601/,Cartier,Marketing,"PARIS, 75, FR","Number 1 worldwide in Jewellery and number 2 in prestige watchmaking, Cartier has combined expertise and excellence since 1847. Much more than just a company, Cartier has made its creations into legends, with teams of men and women who make their passion their career.
 
Cartier International is looking for a :
 
Communication senior project manager – CDI 
 
 
KEY RESPONSABILITIES
 
Within the International Communication Direction of Cartier International, your main missions are the following : 
 

Participation in the definition of the communication strategy for the Maison

You contribute to the implementation of the 3-year communication plan and you develop the action plan for each project according to the strategic priorities.
 

Conception and coordination of the 360 campaigns 

You design and control the activation principles for each 360 project. You draft the briefs with the different communication experts. You support and challenge the experts in the development of the 360 campaigns and you are the main contact of each stakeholder (experts, strategic planning, creative communication, events, client, visual merchandising, marketing). You guarantee the consistency of the communication package according to the different touchpoints. You are in constant interaction with the orchestration and budget team to integrate the needs and feedbacks of our markets. You write the activation notes for each project, for the markets.
 

Participate in the development of the action plan

You define the challenges, targets and touchpoints for each communication campaign by project. You are in charge of the coordination with the orchestration and budgets team to take into account the markets’s needs from the brief. You coordinate the action plan for our World Meeting for the markets and the internal teams (global communication strategy and integrated campaigns by project).
 
 
 
 
YOUR PROFILE 
 
You have around 8 years of experience as a communication expert, in an international context.
You know how to adapt to your different stakeholders and are able to exercice leadership and influence, and federate your diverse partners. 
You are agile and solution-oriented. 
You have very strong project management skills and are a team player. 
You have an excellent level of English (writing, speaking and presentation skills required).
 
 
Position based in Paris 
 
 
"
62,Product Owner Digital Solutions,/VanCleef-Arpels/job/Paris-Product-Owner-Digital-Solutions-75/621537101/,Van Cleef & Arpels,Client Services,"Paris, 75, FR","Correspondez-vous au profil ? 
 
 
Vous êtes titulaire d’un diplôme d’Ingénieur ou équivalent avec une spécialisation digital, et vous avez une expérience minimum de 5 ans en gestion de projet web et mobile ?
Vous êtes reconnue(e) pour votre rigueur, votre organisation de travail et votre gestion des priorités ? 
Vous aimez travailler en équipe et êtes à l’écoute des évolutions technologiques pour en faire bénéficier vos projets ?
Les outils de gestion de projets et les CMS sont des éléments de votre quotidien ?
Bilingue anglais, vous avez déjà travaillé en mode Agile dans un contexte international.
 
Si tel est le cas, n’hésitez pas à postuler ! 
 
Qu’attendons-nous de vous ?   
 
Rattaché(e) au Responsable Solutions Digitales Internationales, vous accompagnez le département digital dans la mise en place des différents projets de la Maison en lien avec les agences de développement et le département IT/Digital groupe Richemont. 
 
Dans le cadre de vos missions, vous pilotez en autonomie des projets qui vous seront confiés, et qui vous amèneront à travailler avec les différents départements (Retail, RH, CRM, etc.) et régions de la Maison.
Vous êtes l’interlocuteur privilégié des Chefs de projets métiers et vous organisez les workshops nécessaires à l’expression du besoin. Vous porterez ensuite ce besoin (de la rédaction des user stories, priorisation, tests, jusqu’à leur validation finale). 
 
En tant que Product Owner, vous êtes force de proposition pour identifier les solutions possibles et challenger les propositions des agences.
 
Vous êtes l’interlocuteur privilégié de l’équipe de test pour la bonne compréhension du besoin business et serez en charge de suivre la qualité de vos projets pour et post mise en ligne.
 
Votre curiosité et passion pour le digital vous amèneront à effectuer une veille régulière en matière de nouveautés technologiques que vous partagerez à l’équipe.
 
 
Plus qu’un poste… une expérience ! 
Intégrer la Maison Van Cleef & Arpels, c’est avant tout rejoindre une équipe où le développement des collaborateurs est au cœur de notre ambition. Vous aurez ainsi l’opportunité d’une intégration complète avec des formations sur notre histoire, nos savoir-faire et créations, et un accompagnement au quotidien.
Le processus de recrutement

Postulez directement en ligne
Si votre profil est sélectionné, vous êtes contacté(e) par l’équipe RH pour un entretien dans nos locaux. Sinon, vous recevez un email vous informant du refus de votre candidature.
Vous rencontrez ensuite par étape le manager puis le Directeur de département.  

 
Poste basé à Paris
"
63,CDI - Joaillier expérimenté (H/F) 1 1,/Cartier/job/BEZANNES-CDI-Joaillier-exp%C3%A9riment%C3%A9-%28HF%29-1-1-G/542066401/,Cartier,Manufacturing,"BEZANNES, G, FR","NOUS RECHERCHONS
Intégré(e) au sein d’un atelier de fabrication de pièces de joaillerie, nous sommes à la recherche d’un  joaillier expérimenté dont la mission principale sera la réalisation des pièces de joaillerie en respectant délais et qualité de fabrication.
 
VOS RESPONSABILITES
Dans ce cadre, vos principales missions seront les suivantes :
 
- Réalisation de pièces de joaillerie sur métaux précieux (or et platine)
- Auto-contrôle permettant de garantir la conformité de votre travail
 
- Transmission de votre savoir-faire
- Participation aux projets d’amélioration continue en proposant régulièrement des idées de progrès.
 
VOTRE PROFIL
Vous justifiez d’une expérience d’au moins 6 ans sur ce même type de poste. Vous maîtrisez les techniques de joaillerie. Vous êtes rigoureux et organisé. Vous êtes reconnu pour votre appétence pour le travail d’équipe et votre aisance relationnelle.
"
